Date,Time,Artist(s),Instruments/Details,Venue,Source
2025-12-21,08:30,Vid. Kunnakudi M. Balamuralikrishna,"Lect. Demo. ""Decoding Laya aspects of Pallavi"" - with Vid. Shree Sundar Kumar",Vidya Bharathi Mylapore,REVSPS8903
2025-12-21,10:00,Dr. R. Suryaprakash,Vocal - VVS Murari (Violin) - Thanjavur Murugabhoopathi (Mridangam) - KV Gopalakrishnan (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-21,12:30,Swarathmika Srikanth,Vocal - Haritha Narayanan (Violin) - Prajwal Bharadwaj (Mridangam) - Satish Gowtham (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-21,14:00,Shruthi Shankar Kumar,Vocal - Bhargav Tumkur (Violin) - B.N. Kasinadh (Mridangam) - S. Sunil Kumar (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-21,16:00,Papanasam Ashok Ramani,Vocal - B.U. Ganesh Prasad (Violin) - Thiruvarur Vaidyanathan (Mridangam) - N. Guruprasad (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-21,18:30,N. Vijay Siva,Vocal - R.K. Shriramkumar (Violin) - N.C. Bharadwaj (Mrudangam) - Tirupanithura Radhakrishnan (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-22,08:30,Dr. B. Vijayagopal,"Lect. Demo. ""Exploring Raga Music - A journey from Abstract to Form""",Vidya Bharathi Mylapore,REVSPS8903
2025-12-22,10:00,Kalyanapuram S. Aravind,Vocal - Vittal Rangan (Violin) - Patri Satish Kumar (Mridangam) - K.V. Gopalakrishnan (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-22,12:30,Sai Sisters (Kiran & Nivi),Vocal - Gayatri Vibhavari (Violin) - B.N. Kasinadh (Mridangam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-22,14:00,Spoorthi Rao,Vocal - Vibhav Ramani (Violin) - S. Hariharan (Mridangam) - Sheeharsha Udupa (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-22,18:30,Sid Sriram,Vocal - H.N. Bhaskar (Violin) - Patri Satish Kumar (Mridangam) - Kanjiraman (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-23,08:30,Vid. Ramana Balachandhran,"Lect. Demo. ""Mathemusic - Melding Music & Maths"" - with Vid. Kamalakiran Vinjamuri",Vidya Bharathi Mylapore,REVSPS8903
2025-12-23,10:00,Amrutha Venkatesh,Vocal - Rajeev Mukundan (Violin) - Patri Satish Kumar (Mridangam) - Chandrasekara Sharma (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-23,12:30,Rishabh Kaushik,Vocal - R. Srikriti (Violin) - Myan Sudarshan (Mridangam) - Ram Siva (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-23,14:00,Akshay Padmanabhan,Vocal - VSP Gayatri Sivani (Violin) - Ajay Gopi (Mridangam) - N. Guruprasad (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-23,16:00,Sangeeta Samarpanam,H.N. Bhaskar (Violin) - Patri Sathish Kumar (Mridangam) - Guruprasanna (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-24,08:30,Dr. Radha Bhaskar (Moderator),"Lect. Demo. ""Relevance of Raga Classification Janaka-Janya System"" - Panelists: Dr. R.S. Jayalakshmi Dr. Renganatha Sharma Dr. Gayatri Kamakoti",Vidya Bharathi Mylapore,REVSPS8903
2025-12-24,10:00,Rithvik Raja,Vocal - M. Rajeev (Violin) - N.C. Bharadwaj (Mridangam) - G. Chandrasekara Sharma (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-24,12:30,S. Srivathsan,Vocal - Somanath Dandibhotla (Violin) - A. Rohith (Mridangam) - Nerkunnam S. Manikandan (Morsing),Vidya Bharathi Mylapore,REVSPS8903
2025-12-24,14:00,Gayathri Sathya,Vocal - Dr. M. Narmadha (Violin) - Arjun Ganesh (Mridangam) - K. Ranganathan (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-24,16:00,Aswath Narayanan,Vocal - Kamalakiran Vinjamuri (Violin) - N.C. Bharadwaj (Mridangam) - K.V. Gopalakrishnan (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-24,18:30,S. Saketharaman,Vocal - H.N. Bhaskar (Violin) - Vijay Natesan (Mridangam) - Dr. S. Karthick (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-25,08:30,Vid. S. Saketharaman,"Lect. Demo. ""Innovative methods to take Carnatic Music to Next Gen"" - with Vid. Mahesh Raghavan",Vidya Bharathi Mylapore,REVSPS8903
2025-12-25,10:00,Smt. Vishakha Hari,Draupadi Sharanagathi (Musical Discourse),Vidya Bharathi Mylapore,REVSPS8903
2025-12-25,12:30,Bharath Narayanan,Vocal - Sreelakshmi Bhat (Violin) - Ashwinn Balachandran (Mridangam) - Shamit S. Gowda (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-25,14:00,Sooryagayathri,Bhakthi Sangeet - S. Rangapriya (Violin) - V.G. Vigneshwar (Keyboard) - P.V. Anil Kumar (Mridangam) - V. Ganapathy (Tabla),Vidya Bharathi Mylapore,REVSPS8903
2025-12-25,16:00,S. Mahathi,Vocal - Jyotsna Srikanth (Violin) - Vijay Natesan (Mridangam) - S. Sunilkumar (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-25,18:30,Sikkil C. Gurucharan,Vocal - L. Ramakrishnan (Violin) - Patri Satish Kumar (Mridangam) - Giridhar Udupa (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-26,08:30,Vid. Vishakha Hari & Vid. Palghat Ramprasad,"Lect. Demo. ""Reflecting on the Composers intent to understand the purpose of Carnatic Music""",Vidya Bharathi Mylapore,REVSPS8903
2025-12-26,10:00,K.S. Vishnudev,Vocal - Kamalakiran Vinjamuri (Violin) - Patri Satish Kumar (Mridangam) - Chandrasekhara Sharma (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-26,12:30,Pathangi Brothers (Dhruv & Dathre),Vocal Duet - Vishal Sowmyan (Violin) - Srikkar Chittari (Mrudangam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-26,14:00,Vivek Sadasivam,Vocal - Delhi Sridhar (Violin) - Nirmal Narayan (Mridangam) - Utham Shantharaju (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-26,16:00,K. Gayathri,Vocal - Alamkode Gokul (Violin) - J. Vaidyanathan (Mridangam) - S. Krishna (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-26,18:30,P. Unnikrishnan,Vocal - Sayee Rakshith (Violin) - Tiruvarur Bhakthavatsalam (Mridangam) - Tripunithura Radhakrishnan (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-27,08:30,Dr. Gayatri Girish,"Lect. Demo. ""Role of Chittaswarams in Melodic Enhancement"" - with G. Ravikiran K.S. Vishnudev & Dr. N.J. Nandini",Vidya Bharathi Mylapore,REVSPS8903
2025-12-27,10:00,J.A. Jayant,Flute - L. Ramakrishnan (Violin) - N.C. Bharadwaj (Mridangam) - Giridhar Udupa (Ghatam) - S. Sunil Kumar (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-27,12:30,Akshara Samskriti,Vocal - Prahlad Saravana Priyan (Violin) - Pazhani Balaji (Mridangam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-27,14:00,Rahul R. Vellal,Vocal - Keshav Mohan Kumar (Violin) - Kaushik Sridhar (Mridangam) - K.R. Sivaramakrishna (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-27,16:00,Sriranjani Santhanagopalan,Vocal - Sayee Rakshith (Violin) - N.C. Bharadwaj (Mridangam) - Anirudh Athreya (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-27,18:30,K. Bharat Sundar,Vocal - Kamalakiran Vinjamuri (Violin) - Thiruvarur Bhaktavatsalam (Mridangam) - Alathur Rajaganesh (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-28,08:30,Vid. Prince Rama Varma & Vid. Amrutha Venkatesh,"Lect. Demo. ""Musical Aesthetics Clarity of Pure Notes and Vibrant Gamakas""",Vidya Bharathi Mylapore,REVSPS8903
2025-12-28,10:00,V.K. Mani Maran,Vocal - VVS Murari (Violin) - B. Sivaraman (Mridangam) - N. Guruprasad (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-28,12:30,Sudarshan Muralidharan,Vocal - Dr. Badri Narayanan (Violin) - Mumbai Rohit Prasad (Mridangam) - Vishnu V. Kamath (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-28,14:00,Bhargav Hariharan & Krupa Lakshmi,Vocal Duet - Madan Mohan (Violin) - Trivandrum V. Balaji (Mridangam) - Samyukta Sriram (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-28,16:00,Amritha Murali,Vocal - L. Ramakrishnan (Violin) - N.C. Bharadwaj (Mridangam) - Anirudh Athreya (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-28,18:30,Abhishek Raghuram,Vocal - Vittal Rangan (Violin) - Patri Satish Kumar (Mridangam) - Vazhapally Krishnakumar (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-29,08:30,Vid. Neyveli Santhanagopalan,"Lect. Demo. ""Sangeetha Alankaram"" - with Nagai Muralidharan Delhi Sunderrajan & Mannargudi Easwaran",Vidya Bharathi Mylapore,REVSPS8903
2025-12-29,10:00,V. Sankaranarayanan,Vocal - M.A. Sundareswaran (Violin) - R. Sankaranarayanan (Mridangam) - N. Guru Prasad (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-29,12:30,V. Deepika & V. Nandika,Vocal Duet - Chetana Sekhar (Violin) - Aduthurai Guruprasadh (Mridangam) - Sainath (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-29,14:00,Aditya Madhavan,Vocal - Bhargav Tumkur (Violin) - Vijay Ganesh (Mridangam) - D.V. Venkatasubramanian (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-29,16:00,Vignesh Ishwar,Vocal - Sayee Rakshith (Violin) - Delhi Sairam (Mridangam) - N. Guruprasad (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-29,18:30,Trichur Brothers (Srikrishna Mohan & Ramkumar Mohan),Vocal - Gokul (Violin) - Praveen Sparsh (Mridangam) - Sunaad Anoor (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-30,08:30,Vid. Manda Sudharani,"Lect. Demo. ""Exploring Taanam in Carnatic Music"" - with M.A. Sundareswaran & Nirmala Rajasekar",Vidya Bharathi Mylapore,REVSPS8903
2025-12-30,10:00,Anahita & Apoorva Ravindran,Vocal - Sayee Rakshith (Violin) - Vijay Natesan (Mridangam) - BS Purushottam (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-30,12:30,Aditya Narayanan,Vocal - Sameth Sitaraman (Violin) - Gopal Ravindran (Mridangam) - Srikrishna Prasanna (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-30,14:00,B. Suchitra,Harikatha - Gyandev Pappu (Violin) - M.S. Venkatasubramaniam (Mridangam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-30,16:00,Ramana Balachandran,Veena - Sai Giridhar (Mridangam) - K.V. Gopalakrishnan (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-30,18:30,Malladi Brothers (Sriramprasad & Ravikumar),Vocal - B. Anantha Krishnan (Violin) - Parupalli Phalgun (Mridangam) - V. Suresh (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-31,08:30,Dr. Sangeeta Shankar,"Lect. Demo. ""Evolution of teaching methods"" - with Dr. R. Suriyaprakash Dr. R. Hemalatha Vid. V.V.S. Murari",Vidya Bharathi Mylapore,REVSPS8903
2025-12-31,10:00,Nirmala Rajasekar,Saraswathi Veena - Trivandrum Sampath (Violin) - Thanjavur K. Murugaboopathi (Mridangam) - N. Guruprasad (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-31,12:30,Subhathra Sridharan,Vocal - Sanchith Narayanan (Violin) - Lalit Kovvuri (Mridangam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-31,14:00,Heramb & Hemanth,Flute Duo - Sanjay Suresh (Violin) - Puttur Nikshith (Mridangam) - Sriram Natrajan (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2025-12-31,16:00,Neyveli R. Santhanagopalan,Vocal - M.A. Sundareswaran (Violin) - K.V. Prasad (Mridangam) - Vaikom Gopalakrishnan (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2025-12-31,18:30,Sandeep Narayan,Vocal - S. Varadarajan (Violin) - Dr. Trichy Sankaran (Mridangam) - K.V. Gopalakrishnan (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2026-01-01,10:00,Sri U.Ve. Velukkudi Krishnan Swamigal,Sri Srinivasa Kalyanam Discourse,Vidya Bharathi Mylapore,REVSPS8903
2026-01-01,12:30,Vishruthi Girish,Vocal - Aparna Thyagarajan (Violin) - Aashrith Aravind (Mridangam) - Sai Bharath (Kanjira),Vidya Bharathi Mylapore,REVSPS8903
2026-01-01,14:00,Pattabhirama Pandit,Vocal - T.K.V. Ramanujacharlu (Violin) - Bangalore V. Praveen (Mridangam) - Paravoor Gopakumar (Morsing),Vidya Bharathi Mylapore,REVSPS8903
2026-01-01,16:00,Dr. Gayathri Girish,Vocal - R. Raghul (Violin) - R. Sankaranarayanan (Mridangam) - S. Krishna (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2026-01-01,18:30,Dr. Nithyasree Mahadevan,Vocal - B.V. Raghavendra Rao (Violin) - I. Sivakumar (Mridangam) - Sukanya Ramgopal (Ghatam),Vidya Bharathi Mylapore,REVSPS8903
2026-01-02,14:00,Goshti Ganam,Mangala Isai followed by Sri Thyagaraja Pancharatna Kritis (100 artistes),Narada Gana Sabha Alwarpet,REVSPS8903
2026-01-02,17:30,Function,125 year Commemorative Function,Narada Gana Sabha Alwarpet,REVSPS8903
2026-01-02,18:30,Vid. Sudha Ragunathan & U.Ve. Dushyanth Sridhar,Kannan Varugindra Neeram Presentation,Narada Gana Sabha Alwarpet,REVSPS8903
2026-01-03,16:00,Anil Srinivasan & U. Rajesh,Piano & Mandolin Duet,Narada Gana Sabha Alwarpet,REVSPS8903
2026-01-03,18:30,Vid. Ranjani-Gayatri,125 year Special Concert,Narada Gana Sabha Alwarpet,REVSPS8903
2026-01-04,18:00,Kalakshetra Foundation,Sabari Moksham Dance Drama,Narada Gana Sabha Alwarpet,REVSPS8903
2026-01-05,16:00,A. Kanyakumari,VIOLIN WAVES with her Disciples,Narada Gana Sabha Alwarpet,REVSPS8903
2026-01-05,19:00,Anitha Guha's Bharathanjali,Mahadevam Mahasenam Bhaje Dance Drama,Narada Gana Sabha Alwarpet,REVSPS8903
2025-12-30,08:00,Shashank Subramanyam & Jayateerth Mevundi,Flute & Hindustani Vocal Jugalbandhi; Patri Satishkumar (Mridangam); Rajendra Nakod (Tabla); Narendra Nayak (Harmonium),Krishna Gana Sabha,KGS8915
2025-12-28,09:30,Nirupama & Rajendra,Inauguration of 43rd Natya Kala Conference - NAVONMESHA (Quest for Creative Excellence),Krishna Gana Sabha,KGS8915
2025-12-28,10:35,Rudrakshya Foundation,PURUSHAANG: Odissi Beyond Boundaries,Krishna Gana Sabha,KGS8915
2025-12-28,11:00,Chandraprakash Dwivedi,UJJEEVAN: Recreating Classical Themes for popular Media,Krishna Gana Sabha,KGS8915
2025-12-28,11:55,Tanusree Shankar & Dancers,NAVODAYA: Pioneering Novelty - Uday Shankar's Unique style,Krishna Gana Sabha,KGS8915
2025-12-28,12:35,Panelists: Divya Nayar; Renjith Vijna; Dr. Himanshu Srivastava,Panel: ANVESHANA (Creative Freedom in interpreting the classics); Moderator: Dr. Arathi VB,Krishna Gana Sabha,KGS8915
2025-12-28,14:15,Prof. Deepak Paramashivan with Anil V Iyer,Workshop: RANGADHARMI - Workshop on Rangageethe & Loka Dharmi Abhinaya,Sri Ramakrishna Mission Sarada Vidyalaya School,KGS8915
2025-12-29,08:00,Tanusree Shankar,Workshop: NAVODAYA - A workshop on UDAY SHANKAR STYLE,Sri Ramakrishna Mission Sarada Vidyalaya School,KGS8915
2025-12-29,09:30,Dr. Anuradha Tadakamalla; G. Narendra; Dr. Neena Prasad; Vineeth Radhakrishna,VRITTIS: The Route to Abhinaya (Kuchipudi; Bharatanatyam; Mohiniattam; Natya),Krishna Gana Sabha,KGS8915
2025-12-29,11:05,Bickram Ghosh,RHYTHMS AND THE UNIVERSE,Krishna Gana Sabha,KGS8915
2025-12-29,11:55,Sandhya Raman,AHARYA: Perceptive Costuming,Krishna Gana Sabha,KGS8915
2025-12-29,12:30,Panelists: Anuradha Vikranth; Swapnokalpa Dasgupta; Akhila Krishnamurthy,Panel: SAHRUDAYA SAMBHASHANAM (Developing Conscious Connoisseurs); Moderator: Supriti,Krishna Gana Sabha,KGS8915
2025-12-29,14:00,Sandhya Raman,Workshop: AHARYA - A Workshop on Creative Costuming,Sri Ramakrishna Mission Sarada Vidyalaya School,KGS8915
2025-12-30,08:00,Bickram Ghosh,Workshop: The Aesthetics of Musical Math - workshop on Rhythms,Sri Ramakrishna Mission Sarada Vidyalaya School,KGS8915
2025-12-30,09:30,Dr. C. Rajendran,SHAASTRA-MOOLAM: The Natyashastric Roots of south Indian Theatrical Traditions,Krishna Gana Sabha,KGS8915
2025-12-30,10:15,Gyan Dev Singh,RANGA - PRAKAASHA: Lighting as the art of Highlighting,Krishna Gana Sabha,KGS8915
2025-12-30,10:45,Dr. Vasanthalakshmi Narasimhachari,SHAASTRA & PRAYOGS: A Symbiotic connection,Krishna Gana Sabha,KGS8915
2025-12-30,11:15,Priya Murle; S. Janaki; Ramya Ramnarayan,PRAYUKTHA: Responding with Responsibility - An ABHAI offering,Krishna Gana Sabha,KGS8915
2025-12-30,11:55,Panelists: Mayuri Upadhya; Dr. Methil Devika; Vaibhav Arekar,Panel: TARANA - Expanding the Horizon; Moderator: Aneish Rajan,Krishna Gana Sabha,KGS8915
2025-12-30,12:50,Nirupama & Rajendra,BHARATHAKAVYAM: An Expression of Gratitude,Krishna Gana Sabha,KGS8915
2025-12-18,18:15,Guru S.P. Sailaja & her disciples of Saila Sudha Academy,Inauguration followed by Thematic dance presentation,"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20",HAMSA9055
2025-12-24,18:45,Nirmala Rajasekhar & Ronu Mazumdar,Veena & Flute Jugalbandhi,"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20",HAMSA9055
2025-12-25,18:45,Staff & Students of Sri Sathya Sai University for Human Excellence,Nada Gurukulam presents Bhakti Yatra Musical offering (Bhagwan Sri Sathya Sai Baba Centenary),"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20",HAMSA9055
2025-12-26,18:45,Temple of Music - Swara Yoga Youth Ensemble,Created by Violin Maestro Ganesh Rajagopalan,"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20",HAMSA9055
2025-12-30,17:15,Young NRI Artistes,Youth Cultural Ambassador Awards & Concerts of Awardees,"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20",HAMSA9055
2026-01-01,,Guru Anitha Guha's Bharatanjalii,Dance Drama (Preceded by RRC Award of Excellence Presentation),"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20",HAMSA9055
2026-01-02,,Differently Abled Artistes,Maargazhi Matram Concerts,"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20",HAMSA9055
2025-12-23,08:15,M.S.Martin and his Disciples,Keyboard Ensemble,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-23,09:00,Hrishikesh Chary & Priyanka Chary,Veena Duo,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-23,10:30,Shankar Ramani,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-23,12:30,Neha Murthy,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-23,13:45,Siddhartha J,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-23,15:00,Padmashree Srinivasan,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-23,16:30,Dr. Suma Sudhindra,Veena,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-23,18:30,Tadepally Vid. Lokanatha Sharma & Dr. Suma Sudhindra,Honouring Function,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-23,19:00,S. Saindhvi & Vinaya Karthik Rajan,"Vocal Duet with ""Viprahar Band""","Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-24,09:00,Vignesh Ravichandran,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-24,10:30,Madurai N. Sivaganesh,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-24,12:45,Aditi Anand,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-24,14:00,Vasanth Ranganathan,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-24,15:15,Rhea Rajesh,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-24,17:00,Bangalore Brothers (M.B. Hariharan & S. Ashok),Vocal Duet,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-24,19:00,Shertallay Dr. K.N. Renganatha Sharma,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-25,09:00,Sowmya Subramanian,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-25,10:30,Dr. Radha Bhaskar,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-25,12:45,Vishwesh Kasi,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-25,14:00,Ritvik Vadi,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-25,15:15,Cotah Sisters (Purva Dhanashree & Paavani Cotah),,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-25,17:00,Dr. Brindha Manickavasakan,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-25,19:00,Kalyanapuram S. Aravind,"""Kambayanam"" - Narration and Vocal","Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-26,09:00,Sowmya Acharya,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-26,10:30,Aravind Sundar,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-26,12:45,Aghalya Manimohan,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-26,14:00,Haasini Battiprolu,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-26,15:15,Vaibhav Ramu,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-26,17:00,Kiranavali Vidyasankar with Disciples,"""Sarvam Vishnu Mayam"" - Vocal","Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-26,19:00,Vid. N.J. Nandini,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-27,09:00,Subatra Jayaseelan,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-27,10:30,Vid. Tiruvarur Vaidyanathan,"""Vibrations""","Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-27,12:15,Thurgaashini Selvakumar,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-27,13:15,Hamsini Naidu,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-27,14:15,Vidya Kanthan,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-27,15:30,Lakshmipriya R,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-27,17:00,"Spoorthi Rao, Vishwas Hari","Vocal, Mandolin","Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-27,19:00,Sooryagayathri,"""Bhakthi Sangeet"" - Vocal","Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-28,08:15,S. Hiranmayee,Veena,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-28,09:00,Vasundhara Kikkeri,Veena,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-28,10:30,Revathi Subramanian,"""Kalinga Narthana Krishna"" - Katha Kutchery","Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-28,12:45,Dhruv Vadiraj,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-28,14:00,Vrishank Ramadugu,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-28,15:15,Rishabh Kaushik,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
2025-12-28,17:00,Dr. S. Sundar,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004",PADDHATHI
